,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
55157,2014.0,4.0,1103.0,72.0,1157.0,63.0,H,0.0,25.0,59.0,7.0,22.0,15.0,26.0,14.0,24.0,10.0,17.0,13.0,5.0,18.0,23.0,59.0,6.0,14.0,11.0,18.0,15.0,22.0,6.0,20.0,8.0,4.0,22.0
55158,2014.0,4.0,1107.0,74.0,1373.0,62.0,A,0.0,21.0,52.0,4.0,10.0,28.0,36.0,14.0,24.0,8.0,14.0,11.0,4.0,22.0,23.0,62.0,4.0,24.0,12.0,23.0,20.0,24.0,12.0,16.0,2.0,6.0,26.0
55159,2014.0,4.0,1112.0,73.0,1142.0,62.0,H,0.0,24.0,42.0,5.0,11.0,20.0,36.0,10.0,24.0,12.0,11.0,4.0,7.0,15.0,20.0,54.0,11.0,26.0,11.0,13.0,10.0,16.0,13.0,11.0,4.0,0.0,26.0
55160,2014.0,4.0,1113.0,96.0,1420.0,61.0,H,0.0,27.0,57.0,9.0,23.0,33.0,44.0,13.0,37.0,15.0,11.0,10.0,6.0,21.0,22.0,61.0,6.0,23.0,11.0,25.0,11.0,24.0,12.0,16.0,8.0,1.0,30.0
55163,2014.0,4.0,1124.0,72.0,1160.0,60.0,N,0.0,24.0,54.0,8.0,20.0,16.0,23.0,12.0,30.0,12.0,13.0,2.0,3.0,23.0,22.0,66.0,2.0,19.0,14.0,22.0,18.0,21.0,10.0,6.0,7.0,3.0,21.0
55167,2014.0,4.0,1140.0,81.0,1451.0,72.0,H,0.0,32.0,72.0,3.0,9.0,14.0,20.0,13.0,33.0,18.0,7.0,4.0,5.0,20.0,26.0,66.0,6.0,18.0,14.0,21.0,10.0,30.0,9.0,10.0,3.0,7.0,17.0
55170,2014.0,4.0,1153.0,74.0,1300.0,61.0,H,0.0,22.0,56.0,7.0,21.0,23.0,31.0,17.0,21.0,13.0,12.0,8.0,4.0,22.0,19.0,48.0,3.0,14.0,20.0,28.0,11.0,18.0,7.0,16.0,6.0,3.0,29.0
55172,2014.0,4.0,1163.0,78.0,1268.0,77.0,N,0.0,30.0,58.0,10.0,23.0,8.0,13.0,9.0,27.0,16.0,13.0,10.0,6.0,22.0,24.0,57.0,8.0,19.0,21.0,28.0,11.0,22.0,15.0,13.0,5.0,0.0,17.0
55173,2014.0,4.0,1166.0,107.0,1108.0,61.0,H,0.0,35.0,63.0,11.0,24.0,26.0,36.0,10.0,35.0,25.0,6.0,12.0,0.0,18.0,21.0,58.0,9.0,26.0,10.0,15.0,4.0,22.0,9.0,18.0,1.0,3.0,29.0
55174,2014.0,4.0,1181.0,111.0,1172.0,77.0,H,0.0,38.0,54.0,13.0,21.0,22.0,32.0,3.0,24.0,16.0,4.0,7.0,6.0,21.0,26.0,62.0,3.0,21.0,22.0,25.0,13.0,18.0,4.0,10.0,2.0,0.0,23.0
55175,2014.0,4.0,1184.0,83.0,1198.0,61.0,N,0.0,26.0,53.0,9.0,24.0,22.0,30.0,5.0,28.0,16.0,8.0,10.0,0.0,24.0,20.0,57.0,4.0,14.0,17.0,35.0,18.0,27.0,9.0,14.0,3.0,3.0,22.0
55176,2014.0,4.0,1196.0,77.0,1316.0,69.0,H,0.0,24.0,54.0,2.0,10.0,27.0,32.0,8.0,27.0,11.0,13.0,9.0,4.0,12.0,26.0,64.0,9.0,24.0,8.0,15.0,13.0,24.0,14.0,17.0,6.0,2.0,24.0
55180,2014.0,4.0,1203.0,76.0,1347.0,54.0,H,0.0,24.0,48.0,5.0,9.0,23.0,29.0,10.0,33.0,12.0,17.0,9.0,4.0,21.0,20.0,60.0,5.0,21.0,9.0,21.0,15.0,19.0,11.0,13.0,8.0,3.0,27.0
55181,2014.0,4.0,1206.0,63.0,1110.0,60.0,H,0.0,20.0,47.0,4.0,14.0,19.0,31.0,14.0,20.0,7.0,13.0,10.0,2.0,16.0,22.0,49.0,9.0,28.0,7.0,11.0,9.0,18.0,12.0,16.0,8.0,5.0,22.0
55182,2014.0,4.0,1208.0,72.0,1459.0,52.0,H,0.0,25.0,57.0,2.0,11.0,20.0,29.0,20.0,29.0,10.0,9.0,4.0,3.0,19.0,19.0,50.0,2.0,14.0,12.0,18.0,7.0,17.0,5.0,10.0,4.0,1.0,19.0
55189,2014.0,4.0,1234.0,82.0,1423.0,39.0,H,0.0,31.0,67.0,4.0,12.0,16.0,24.0,16.0,40.0,19.0,10.0,7.0,12.0,10.0,16.0,72.0,2.0,23.0,5.0,10.0,19.0,24.0,6.0,14.0,6.0,1.0,20.0
55190,2014.0,4.0,1242.0,80.0,1419.0,63.0,H,0.0,23.0,43.0,7.0,18.0,27.0,43.0,8.0,28.0,17.0,15.0,9.0,5.0,27.0,21.0,49.0,3.0,10.0,18.0,29.0,6.0,21.0,13.0,13.0,4.0,0.0,31.0
55191,2014.0,4.0,1246.0,89.0,1421.0,57.0,H,0.0,28.0,60.0,3.0,11.0,30.0,48.0,19.0,30.0,12.0,7.0,8.0,6.0,20.0,22.0,57.0,3.0,13.0,10.0,21.0,11.0,20.0,9.0,15.0,1.0,3.0,32.0
