,Season,Daynum,Wteam,Wscore,Lteam,Lscore,Wloc,Numot,Wfgm,Wfga,Wfgm3,Wfga3,Wftm,Wfta,Wor,Wdr,Wast,Wto,Wstl,Wblk,Wpf,Lfgm,Lfga,Lfgm3,Lfga3,Lftm,Lfta,Lor,Ldr,Last,Lto,Lstl,Lblk,Lpf
65,2004,136,1104,65,1356,64,N,0,24,53,7,16,10,16,11,24,7,12,7,2,7,24,59,12,22,4,5,10,20,15,10,4,1,14
66,2004,136,1163,70,1436,53,N,0,26,52,6,14,12,23,11,31,14,13,6,3,8,19,60,11,32,4,6,11,18,10,12,7,1,19
67,2004,136,1177,76,1173,69,N,2,24,59,5,13,23,40,11,38,13,11,4,3,19,27,79,3,20,12,23,18,32,11,10,5,3,29
68,2004,136,1181,96,1106,61,N,0,32,66,9,26,23,31,17,29,19,14,14,4,19,22,57,7,20,10,17,9,22,7,21,7,1,20
69,2004,136,1211,76,1434,49,N,0,29,54,3,13,15,25,10,36,19,15,6,5,14,18,63,6,23,7,11,10,21,8,13,6,0,20
70,2004,136,1264,75,1196,60,N,0,26,60,6,15,17,21,13,23,10,10,8,4,21,21,45,3,13,15,22,4,22,4,14,4,4,18
71,2004,136,1268,86,1431,83,N,0,29,59,8,18,20,31,16,21,17,14,7,6,20,29,56,5,17,20,24,9,20,13,14,2,2,25
72,2004,136,1305,72,1277,66,N,0,20,46,7,22,25,29,5,23,10,17,6,2,16,23,55,5,16,15,18,6,20,14,14,9,0,25
73,2004,136,1314,63,1102,52,N,0,22,53,4,13,15,18,14,21,12,13,10,1,15,17,39,8,25,10,13,2,19,15,16,7,2,15
74,2004,136,1371,80,1112,76,N,0,27,58,8,22,18,24,12,21,12,10,6,0,19,28,53,5,11,15,19,7,22,12,14,4,3,15
75,2004,136,1386,82,1251,63,N,0,27,60,8,23,20,28,10,26,16,14,15,3,17,22,51,6,20,13,18,7,29,15,26,7,1,22
76,2004,136,1390,71,1427,45,N,0,27,54,6,14,11,15,11,29,11,20,11,9,20,15,63,2,15,13,21,22,17,2,19,8,3,15
77,2004,136,1393,80,1140,75,N,0,24,46,11,16,21,28,5,18,12,7,2,4,15,26,55,10,26,13,19,15,21,19,9,2,1,23
78,2004,136,1400,66,1343,49,N,0,23,50,11,15,9,14,17,26,10,13,3,1,16,18,51,5,26,8,12,9,14,11,7,5,0,18
79,2004,136,1403,76,1150,73,N,0,29,59,4,11,14,18,14,22,17,16,7,2,16,25,58,6,24,17,21,13,20,14,14,11,4,20
80,2004,136,1448,79,1433,78,N,0,28,54,6,16,17,27,9,23,16,11,7,2,16,29,57,11,20,9,13,7,20,17,17,7,4,22
81,2004,137,1130,58,1428,51,N,0,23,44,3,4,9,11,4,21,20,8,4,3,13,19,50,3,18,10,10,9,17,12,8,2,0,12
82,2004,137,1153,80,1190,77,N,0,29,62,13,32,9,11,12,33,22,17,3,11,19,29,74,6,23,13,20,17,21,14,6,11,3,14
83,2004,137,1210,65,1320,60,N,0,25,55,6,18,9,12,8,29,10,12,4,3,14,21,54,10,27,8,10,3,25,15,10,2,1,16
84,2004,137,1228,72,1293,53,N,0,27,60,9,24,9,13,16,28,19,8,5,5,17,17,49,8,20,11,17,9,18,8,10,4,2,13
85,2004,137,1242,78,1227,53,N,0,24,39,5,12,25,40,6,35,18,25,6,8,19,20,64,3,16,10,14,11,15,10,15,9,0,25
86,2004,137,1246,96,1197,76,N,0,35,62,11,28,15,23,13,29,23,17,8,5,15,30,66,11,30,5,12,12,17,13,17,13,1,19
87,2004,137,1272,59,1376,43,N,0,23,59,9,27,4,7,14,22,16,9,3,4,15,15,42,2,13,11,16,4,21,9,12,5,4,14
88,2004,137,1280,85,1284,52,N,0,30,56,8,22,17,23,13,34,19,17,12,3,13,18,51,9,27,7,15,3,17,12,17,7,0,18
89,2004,137,1301,61,1418,52,N,0,18,49,5,17,20,24,13,24,10,15,5,0,20,16,49,5,22,15,23,11,21,9,15,9,2,21
90,2004,137,1329,75,1186,56,N,0,30,55,2,6,13,16,11,26,15,15,12,5,16,21,59,3,19,11,13,12,15,19,14,8,2,15
91,2004,137,1334,66,1344,58,N,0,24,50,6,14,12,18,7,22,17,12,7,1,11,23,61,6,26,6,6,15,21,12,15,4,2,18
92,2004,137,1338,53,1416,44,N,0,13,44,5,16,22,31,10,27,7,13,8,1,15,16,52,5,20,7,10,9,24,10,14,6,0,22
93,2004,137,1412,102,1449,100,N,0,30,65,9,26,33,44,11,26,23,12,8,2,26,35,64,6,20,24,34,10,31,19,16,6,5,30
94,2004,137,1435,71,1444,58,N,0,26,46,11,19,8,18,8,25,16,17,9,5,15,22,63,2,19,12,16,18,18,10,12,13,1,19
